"Status";"Bestellnummer";"Name";"Notiz";"Produzent";"Herkunft";"Einheit";"Nettopreis";"MwSt";"Pfand";"Gebindegroeße";"geschu1";"geschu2";"Kategorie"
;426314;"Zwiebel gelb 426314";;"Fuchsloch";"Waldviertel";"1 kg";1,7;10;;5;;;"Zwiebel"
;426315;"Zwiebel gelb 426315";;"Fuchsloch";"Waldviertel";"1 Sk.";1,75;10;;10;;;"Zwiebel"
;426316;"Zwiebel gelb 426316";;"Fuchsloch";"Waldviertel";"1 Sk.";1,95;10;;5;;;"Zwiebel"
;426317;"Zwiebel gelb 426317";;"Fuchsloch";"Waldviertel";"1 Sk.";4,1;10;;4;;;"Zwiebel"
;426318;"Zwiebel gelb 426318";;"Fuchsloch";"Waldviertel";"1 Sk.";4,5;10;;2;;;"Zwiebel"
;426319;"Zwiebel gelb 426319";;"Fuchsloch";"Waldviertel";"1 Sk.";7,95;10;;4;;;"Zwiebel"
;426320;"Zwiebel gelb 426320";;"Fuchsloch";"Waldviertel";"1 Sk.";8,75;10;;2;;;"Zwiebel"
;421072;"Porree 421072";;"Holzer";"Österreich";"500 g";1,75;10;;6;;;"Zwiebel"
;421073;"Porree 421073";;"Holzer";"Österreich";"500 g";1,85;10;;4;;;"Zwiebel"
;423100;"Zwiebel gelb 423100";;"Lamm";"Österreich";"1 kg";1,3;10;;10;;;"Zwiebel"
;423101;"Zwiebel gelb 423101";;"Lamm";"Österreich";"1 kg";1,35;10;;5;;;"Zwiebel"
;430370;"Knoblauch trocken 430370";;"Achleitner";"Österreich";"1 kg";10;10;;3;;;"Zwiebel"
;444083;"Schalottenzwiebel 444083";;"Biohandel";"Österreich";"1 kg";3,85;10;;5;;;"Zwiebel"
;444084;"Schalottenzwiebel 444084";;"Biohandel";"Österreich";"1 kg";4,5;10;;2,5;;;"Zwiebel"
;301231;"Knoblauch 301231";;"Lutz";"Österreich";"1 kg";9,25;10;;5;;;"Zwiebel"
;301232;"Knoblauch 301232";;"Lutz";"Österreich";"1 kg";10,2;10;;3;;;"Zwiebel"
;301431;"Lauch 301431";;"Lutz";"Österreich";"1 kg";4,2;10;;5;;;"Zwiebel"
;301432;"Lauch 301432";;"Lutz";"Österreich";"1 kg";4,6;10;;2,5;;;"Zwiebel"
;301221;"Zwiebel gelb 301221";;"Lutz";"Österreich";"1 kg";1,75;10;;10;;;"Zwiebel"
;301222;"Zwiebel gelb 301222";;"Lutz";"Österreich";"1 kg";1,9;10;;5;;;"Zwiebel"
;421488;"Kürbis Crown Prince 421488";;"Holzer";"Österreich";"1 kg";2,1;10;;5;;;"Kürbisse"
;409276;"Helloween Kürbis ca. 409276";;"Nachbars";"Österreich";"1 kg";0,85;10;;6;;;"Kürbisse"
;409022;"Kürbis Mini Muskat 409022";;"Nachbars";"Österreich";"1 kg";1,3;10;;10;;;"Kürbisse"
;409021;"Kürbis Muskat 409021";;"Nachbars";"Österreich";"1 kg";1,2;10;;10;;;"Kürbisse"
;301340;"Kürbis Pattison 301340";;"Lutz";"Österreich";"1 kg";1,95;10;;5;;;"Kürbisse"
;421129;"Braunschweigerkraut 421129";;"Holzer";"Österreich";"1 kg";1,3;10;;10;;;"Kraut"
;421130;"Braunschweigerkraut 421130";;"Holzer";"Österreich";"1 kg";1,35;10;;5;;;"Kraut"
;421453;"Grünkohl rot 421453";;"Holzer";"Österreich";"1 Bd.";1,55;10;;4;;;"Kraut"
;421454;"Grünkohl rot 421454";;"Holzer";"Österreich";"1 Bd.";1,65;10;;2;;;"Kraut"
;421219;"Kohl 421219";;"Holzer";"Österreich";"500 g";0,85;10;;10;;;"Kraut"
;421220;"Kohl 421220";;"Holzer";"Österreich";"500 g";0,9;10;;5;;;"Kraut"
;421540;"Kohlrabi Superschmelz 421540";;"Holzer";"Österreich";"500 g";1,05;10;;10;;;"Kraut"
;421541;"Kohlrabi Superschmelz 421541";;"Holzer";"Österreich";"500 g";1,15;10;;5;;;"Kraut"
;421192;"Kraut weiss 421192";;"Holzer";"Österreich";"1 kg";1,55;10;;10;;;"Kraut"
