"Status";"Bestellnummer";"Name";"Notiz";"Produzent";"Herkunft";"Einheit";"Nettopreis";"MwSt";"Pfand";"Gebindegroeße";"geschu1";"geschu2";"Kategorie"
;426778;"Karotten-Rote Rübe MIX 426778";;"Fuchsloch";"Waldviertel";"1 Sk.";7,65;10;;2;;;"Wurzelgemüse"
;426240;"Rote Rüben 426240";;"Fuchsloch";"Waldviertel";"500 g";0,8;10;;8;;;"Wurzelgemüse"
;426769;"Rote Rüben 426769";;"Fuchsloch";"Waldviertel";"1 Sk.";6,1;10;;2;;;"Wurzelgemüse"
;426326;"Suppengemüse mix 426326";;"Fuchsloch";"Waldviertel";"1 Sk.";3,55;10;;2;;;"Wurzelgemüse"
;426325;"Suppengemüse mix 426325";;"Fuchsloch";"Waldviertel";"1 Sk.";3,25;10;;4;;;"Wurzelgemüse"
;426328;"Suppengemüse mix 426328";;"Fuchsloch";"Waldviertel";"1 Sk.";1,8;10;;4;;;"Wurzelgemüse"
;421271;"Karotten 421271";;"Holzer";"Österreich";"500 g";0,9;10;;6;;;"Wurzelgemüse"
;421376;"Karotten gelb 421376";;"Holzer";"Österreich";"500 g";0,9;10;;6;;;"Wurzelgemüse"
;421460;"Kohlrüben 421460";;"Holzer";"Österreich";"500 g";0,9;10;;3;;;"Wurzelgemüse"
;421349;"Rote Rüben 421349";;"Holzer";"Österreich";"500 g";0,9;10;;6;;;"Wurzelgemüse"
;421480;"Sellerie 421480";;"Holzer";"Österreich";"500 g";1,25;10;;6;;;"Wurzelgemüse"
;421085;"Stoppelrüben 421085";;"Holzer";"Österreich";"1 kg";1,8;10;;1,5;;;"Wurzelgemüse"
;421409;"Süsskartoel 421409";;"Holzer";"Österreich";"500 g";2,25;10;;3;;;"Wurzelgemüse"
;423001;"Karotten 423001";;"Lamm";"Österreich";"500 g";0,7;10;;10;;;"Wurzelgemüse"
;423055;"Karotten gelb 423055";;"Lamm";"Österreich";"500 g";0,85;10;;10;;;"Wurzelgemüse"
;423091;"Karotten groÿ 423091";;"Lamm";"Österreich";"500 g";0,7;10;;10;;;"Wurzelgemüse"
;423016;"Pastinaken 423016";;"Lamm";"Österreich";"500 g";0,9;10;;6;;;"Wurzelgemüse"
;423013;"Petersilienwurzel 423013";;"Lamm";"Österreich";"1 kg";3,1;10;;5;;;"Wurzelgemüse"
;423049;"Rettich schwarz 423049";;"Lamm";"Österreich";"1 kg";1,65;10;;2;;;"Wurzelgemüse"
;423010;"Rote Rüben 423010";;"Lamm";"Österreich";"500 g";0,7;10;;10;;;"Wurzelgemüse"
;423019;"Sellerie 423019";;"Lamm";"Österreich";"500 g";0,9;10;;10;;;"Wurzelgemüse"
